name,         color
Atlanta,      blue
Chicago,      blue
Essen,        blue
London,       blue
Madrid,       blue
Milan,        blue
Montreal,     blue
NewYork,      blue
Paris,        blue
SanFrancisco, blue
StPetersburg, blue
Washington,   blue
Algiers,      black
Baghdad,      black
Cairo,        black
Chennai,      black
Delhi,        black
Istanbul,     black
Karachi,      black
Kolkata,      black
Moscow,       black
Mumbai,       black
Riyadh,       black
Tehran,       black
Bogota,       yellow
BuenosAires,  yellow
Johannesburg, yellow
Khartoum,     yellow
Kinshasa,     yellow
Lagos,        yellow
Lima,         yellow
LosAngeles,   yellow
Mexico,       yellow
Miami,        yellow
Santiago,     yellow
SaoPaulo,     yellow
Bangkok,      red
Beijing,      red
HoChiMinh,    red
HongKong,     red
Jakarta,      red
Manila,       red
Osaka,        red
Seoul,        red
Shanghai,     red
Sydney,       red
Taipei,       red
Tokyo,        red
